ticker,description,type,mic,adv,n_bars,last_price
WNW,MEIWU TECHNOLOGY CO LTD,Common Stock,XNAS,250615.99889993668,276,2.440000057220459
AXIN,AXIOM INTELLIGENCE-CL A,Common Stock,XNAS,251109.00044441223,273,10.335000038146973
NSYS,NORTECH SYSTEMS INC,Common Stock,XNAS,252517.49877929688,276,11.550000190734863
GCTK,GLUCOTRACK INC,Common Stock,XNAS,265016.5543138981,275,3.680000066757202
NODK,NI HOLDINGS INC,Common Stock,XNAS,265756.0022830963,276,15.010000228881836
AXG,SOLOWIN HOLDINGS-CL A,Common Stock,XNAS,272560.38234114647,276,2.2200000286102295
MSLE,SATELLOS BIOSCIENCE INC,Common Stock,XNAS,275428.50818634033,276,9.079999923706055
ASBP,ASPIRE BIOPHARMA HOLDINGS IN,Common Stock,XNAS,278475.998878479,276,8.90999984741211
FLL,FULL HOUSE RESORTS INC,Common Stock,XNAS,278671.0084557533,276,2.069999933242798
RFL,RAFAEL HOLDINGS INC-CLASS B,Common Stock,XNYS,279342.9980635643,276,2.440000057220459
BVFL,BV FINANCIAL INC,Common Stock,XNAS,283290.0025367737,276,21.219999313354492
MODD,MODULAR MEDICAL INC,Common Stock,XNAS,298858.9996814728,276,3.555000066757202
PIII,P3 HEALTH PARTNERS INC,Common Stock,XNAS,311089.5127773285,276,8.890000343322754
TNON,TENON MEDICAL INC,Common Stock,XNAS,317130.5416393876,276,4.519999980926514
AIOS,AIOS TECH INC,Common Stock,XNAS,323645.9981918335,276,12.819999694824219
RVSB,RIVERVIEW BANCORP INC,Common Stock,XNAS,327594.5240974426,276,5.150000095367432
NTHI,NEONC TECHNOLOGIES HOLDINGS,Common Stock,XNAS,328974.50065612793,276,4.730000019073486
CNSY,CERENOME INC,Common Stock,XNAS,329406.9993376732,276,2.7100000381469727
PN,PN SMART ENERGY LTD,Common Stock,XNAS,331579.50843572617,276,2.5999999046325684
FINW,FINWISE BANCORP,Common Stock,XNAS,332056.30142593384,276,13.979999542236328
WETO,WETOUR ROBOTICS LTD,Common Stock,XNAS,343047.78942012787,276,5.940000057220459
PFSA,PROFUSA INC,Common Stock,XNAS,348621.307076931,276,2.880000114440918
HSDT,SOLANA CO,Common Stock,XNAS,350851.99617147446,276,2.0899999141693115
APYX,APYX MEDICAL CORP,Common Stock,XNAS,356467.4891114235,276,3.049999952316284
TACO,BERTO ACQUISITION CORP,Common Stock,XNAS,360754.0063858032,276,10.489999771118164
BOLD,BOUNDLESS BIO INC,Common Stock,XNAS,361496.5015530586,276,2.890000104904175
CJMB,CALLAN JMB INC,Common Stock,XNAS,371863.0055308342,276,2.130000114440918
RLYB,RALLYBIO CORP,Common Stock,XNAS,386017.5052642822,276,16.690000534057617
MCRB,SERES THERAPEUTICS INC,Common Stock,XNAS,389554.0012359619,276,5.179999828338623
AIRG,AIRGAIN INC,Common Stock,XNAS,390656.503868103,276,5.019999980926514
LSAK,LESAKA TECHNOLOGIES INC,Common Stock,XNAS,390915.0176048279,276,4.46999979019165
SHPH,SHUTTLE PHARMACEUTICALS HOLD,Common Stock,XNAS,402644.9924707413,276,3.609999895095825
NRDY,NERDY INC,Common Stock,XNYS,403111.6582713127,276,9.779999732971191
NHIC,NEWHOLD INVESTMENT COR III-A,Common Stock,XNAS,403140.00701904297,276,10.609999656677246
SEV,APTERA MOTORS CORP CL B,Common Stock,XNAS,423292.0076787472,220,2.319999933242798
CPIX,CUMBERLAND PHARMACEUTICALS,Common Stock,XNAS,427324.99980926514,276,6.559999942779541
XHLD,TEN HOLDINGS INC,Common Stock,XNAS,427375.9975671768,276,9.420000076293945
LGCY,LEGACY EDUCATION INC,Common Stock,XASE,430368.99585723877,276,10.8100004196167
FDBC,FIDELITY D&D BANCORP INC,Common Stock,XNAS,430582.2721481323,276,53.029998779296875
INVE,IDENTIV INC,Common Stock,XNAS,432458.0093383789,276,2.759999990463257
RSVR,RESERVOIR MEDIA INC,Common Stock,XNAS,434716.9991970062,276,9.630000114440918
CURR,CURRENC GROUP INC,Common Stock,XNAS,440478.50012779236,276,3.359999895095825
OMH,OHMYHOME LTD-A,Common Stock,XNAS,440793.2394102216,275,3.3299999237060547
AKAN,AKANDA CORP,Common Stock,XNAS,455243.50328445435,276,3.700000047683716
PLRZ,POLYRIZON LTD,Common Stock,XNAS,458260.48250198364,276,14.359999656677246
BARK,BARK INC,Common Stock,XNYS,461708.998298645,276,10.800000190734863
PAVS,PARANOVUS ENTERTAINMENT TECH,Common Stock,XNAS,464620.988035202,276,4.800000190734863
ADVB,ADVANCED BIOMED INC,Common Stock,XNAS,466246.0059404373,276,10.4399995803833
SRBK,SR BANCORP INC,Common Stock,XNAS,469318.01109313965,276,19.5
GENC,GENCOR INDUSTRIES INC,Common Stock,XASE,475881.0091972351,276,18.469999313354492
USIO,USIO INC,Common Stock,XNAS,477560.9926521778,276,2.809999942779541
USGO,US GOLDMINING INC,Common Stock,XNAS,481113.5107040405,276,8.449999809265137
ACIU,AC IMMUNE SA,Common Stock,XNAS,489396.5170264244,276,2.680000066757202
DTI,DRILLING TOOLS INTERNATIONAL,Common Stock,XNAS,492866.5107369423,276,2.5899999141693115
WOK,WORK MEDICAL TECHNOLOGY GR-A,Common Stock,XNAS,501028.489536047,276,2.2200000286102295
UP,WHEELS UP EXPERIENCE INC,Common Stock,XNYS,513886.50283813477,276,4.340000152587891
SPAI,SAFE PRO GROUP INC,Common Stock,XNAS,519775.5038022995,276,4.599999904632568
SGC,SUPERIOR GROUP OF COS INC,Common Stock,XNAS,520313.32116127014,276,12.1899995803833
OPHC,OPTIMUMBANK HOLDINGS INC,Common Stock,XASE,525759.8953819275,276,8.949999809265137
BGDE,BIG DIGITAL ENERGY INC,Common Stock,XNAS,531069.9978351593,276,6.21999979019165
FTCI,FTC SOLAR INC,Common Stock,XNAS,548748.0091094971,276,2.299999952316284
SAMG,SILVERCREST ASSET MANAGEME-A,Common Stock,XNAS,559125.9956359863,276,10.170000076293945
ANNA,ALEANNA INC,Common Stock,XNAS,565809.0025901794,276,3.140000104904175
GNLX,GENELUX CORP,Common Stock,XNAS,566538.003206253,276,2.5999999046325684
UFI,UNIFI INC,Common Stock,XNYS,573575.0065803528,276,7.389999866485596
NC,NACCO INDUSTRIES-CL A,Common Stock,XNYS,586384.5178604126,276,42.0
CCLD,CARECLOUD INC,Common Stock,XNAS,590505.4749011993,276,2.259999990463257
VNCE,VINCE HOLDING CORP,Common Stock,XNAS,597719.0011501312,276,6.5
CMT,CORE MOLDING TECHNOLOGIES IN,Common Stock,XASE,602162.0116233826,276,24.719999313354492
PMI,PICARD MEDICAL INC,Common Stock,XASE,602220.3123893738,253,3.859999895095825
INDO,INDONESIA ENERGY CORP LTD,Common Stock,XASE,612663.014960289,276,3.0199999809265137
HURC,HURCO COMPANIES INC,Common Stock,XNAS,621665.9837722778,276,20.850000381469727
AVD,AMERICAN VANGUARD CORP,Common Stock,XNYS,624094.0171480179,276,2.2899999618530273
OM,OUTSET MEDICAL INC,Common Stock,XNAS,624835.0151062012,276,3.640000104904175
WNEB,WESTERN NEW ENGLAND BANCORP,Common Stock,XNAS,626398.7466335297,276,13.539999961853027
