cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1903464,AIMTF,AIMTF|AIMUF|AIMWF,Aimfinity Investment Corp. I,,False,25-NSE,2025-07-16,http:404,,,0,0,no-data
1995413,CLBR,CLBR,COLOMBIER ACQUISITION CORP. II,Colombier Acquisition Corp. III,True,25-NSE,2025-07-16,NYSE,2026-03-27,2026-09-04,112,112,still-listed
1861063,AQUC,AQUC,Aquaron Acquisition Corp.,Aquaron Acquisition Corp.,True,25-NSE,2025-07-17,OTC Markets OTCPK,2022-10-19,2026-09-04,973,287,otc-continuation
850033,BPT,BPT|BPPTU,BP PRUDHOE BAY ROYALTY TRUST,,False,25-NSE,2025-07-17,http:404,,,0,0,no-data
1644963,ATXI,ATXI,"AVENUE THERAPEUTICS, INC.","Avenue Therapeutics, Inc.",True,25-NSE,2025-07-18,OTC Markets OTCID,2021-09-07,2026-09-04,1255,286,otc-continuation
1845942,BNIX,BNIX|BNIXR|BNIXW,Bannix Acquisition Corp.,,False,25-NSE,2025-07-18,http:404,,,0,0,no-data
2000640,DMNID,DMNID|DMNIF,Damon Inc.,,False,25-NSE,2025-07-18,http:404,,,0,0,no-data
1995194,PITEF,PITEF|PITWF,Heramba Electric plc,Heramba Electric plc,True,25-NSE,2025-07-18,OTC Markets OTCPK,2024-07-30,2026-09-04,528,286,otc-continuation
1854463,WINV,WINV,WinVest Acquisition Corp.,WinVest Acquisition Corp.,True,25-NSE,2025-07-18,OTC Markets OTCPK,2021-10-04,2026-09-04,1236,286,otc-continuation
1955104,ZAPPF,ZAPPF|ZAPWF,Zapp Electric Vehicles Group Ltd,Zapp Electric Vehicles Group Limited,True,25-NSE,2025-07-18,OTC Markets OTCPK,2023-08-17,2026-09-04,766,286,otc-continuation
1608390,AFMDQ,AFMDQ,Affimed N.V.,Affimed N.V.,True,25-NSE,2025-07-21,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,285,otc-continuation
1070050,APCX,APCX|APCXW,AppTech Payments Corp.,AppTech Payments Corp.,True,25-NSE,2025-07-21,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,285,otc-continuation
882361,APTOF,APTOF,Aptose Biosciences Inc.,,False,25-NSE,2025-07-21,http:404,,,0,0,no-data
727207,AXDXQ,AXDXQ,"Accelerate Diagnostics, Inc",,False,25-NSE,2025-07-21,http:404,,,0,0,no-data
1729944,BACK,BACK,"IMAC Holdings, Inc.","IMAC Holdings, Inc.",True,25-NSE,2025-07-21,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,285,otc-continuation
1708176,HOFV,HOFV,Hall of Fame Resort & Entertainment Co,,False,25-NSE,2025-07-21,http:404,,,0,0,no-data
1487839,LKCOF,LKCOF,Luokung Technology Corp.,Luokung Technology Corp.,True,25-NSE,2025-07-21,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,285,otc-continuation
1816319,LYTHF,LYTHF,Lytus Technologies Holdings PTV. Ltd.,Lytus Technologies Holdings PTV. Ltd.,True,25-NSE,2025-07-21,OTC Markets OTCPK,2022-06-15,2026-09-04,1060,285,otc-continuation
1708331,VRPX,VRPX,"Virpax Pharmaceuticals, Inc.","Virpax Pharmaceuticals, Inc.",True,25-NSE,2025-07-21,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,285,otc-continuation
1854275,ZCAR,ZCAR|ZCARW,"Zoomcar Holdings, Inc.","Zoomcar Holdings, Inc.",True,25-NSE,2025-07-21,OTC Markets OTCQB,2022-01-04,2026-09-04,1172,285,otc-continuation
1583771,HEPA,HEPA|CTRVP,"Hepion Pharmaceuticals, Inc.","Hepion Pharmaceuticals, Inc.",True,25-NSE,2025-07-22,OTC Markets OTCQB,2021-09-07,2026-09-04,1255,284,otc-continuation
1914818,STBXF,STBXF,Starbox Group Holdings Ltd.,Starbox Group Holdings Ltd.,True,25-NSE,2025-07-22,OTC Markets OTCPK,2022-08-23,2026-09-04,1013,284,otc-continuation
1477246,SANW,SANW,S&W Seed Co,S&W Seed Company,True,25,2025-07-24,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,282,otc-continuation
1760542,HOOK,HOOK,HOOKIPA Pharma Inc.,,False,25,2025-07-29,http:404,,,0,0,no-data
1923840,THRD,THRD,"Third Harmonic Bio, Inc.",,False,25,2025-07-31,http:404,,,0,0,no-data
6176,AP,AP|AP-WT,AMPCO PITTSBURGH CORP,Ampco-Pittsburgh Corporation,True,25-NSE,2025-08-01,NYSE,2021-09-07,2026-09-04,1255,276,still-listed
1761696,CRKN,CRKN,Crown Electrokinetics Corp.,Crown Electrokinetics Corp.,True,25,2025-08-04,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,275,otc-continuation
1964021,NCNCF,NCNCF|NCNWF,noco-noco Inc.,noco-noco Inc.,True,25-NSE,2025-08-04,OTC Markets OTCPK,2023-08-28,2026-09-04,759,275,otc-continuation
1170300,PCK,PCK,PIMCO CALIFORNIA MUNICIPAL INCOME FUND II,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
1140392,PMF,PMF,PIMCO MUNICIPAL INCOME FUND,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
1181506,PMX,PMX,PIMCO MUNICIPAL INCOME FUND III,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
1140410,PNF,PNF,PIMCO NEW YORK MUNICIPAL INCOME FUND,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
1181505,PYN,PYN,PIMCO NEW YORK MUNICIPAL INCOME FUND III,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
1181504,PZC,PZC,PIMCO CALIFORNIA MUNICIPAL INCOME FUND III,,False,25-NSE,2025-08-04,http:404,,,0,0,no-data
