event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret
f4_XZO_2026-03-27,XZO,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-04-29,21,0.160371,SPY,0.125971,0.034399
f4_LENZ_2026-03-30,LENZ,form4_cluster_buy,2026-03-30T00:00:00,2026-03-31,2026-04-30,21,-0.018579,SPY,0.105053,-0.123632
f4_AFCG_2026-04-01,AFCG,form4_cluster_buy,2026-04-01T00:00:00,2026-04-02,2026-05-04,21,0.042705,SPY,0.094811,-0.052106
f4_LODE_2026-04-02,LODE,form4_cluster_buy,2026-04-02T00:00:00,2026-04-06,2026-05-05,21,-0.080925,SPY,0.098402,-0.179327
f4_NTHI_2026-04-13,NTHI,form4_cluster_buy,2026-04-13T00:00:00,2026-04-14,2026-05-13,21,0.005566,SPY,0.068902,-0.063336
f4_USAU_2026-04-14,USAU,form4_cluster_buy,2026-04-14T00:00:00,2026-04-15,2026-05-14,21,0.004737,SPY,0.068906,-0.064169
f4_TBN_2026-04-15,TBN,form4_cluster_buy,2026-04-15T00:00:00,2026-04-16,2026-05-15,21,-0.027193,SPY,0.053459,-0.080652
f4_PRLD_2026-04-23,PRLD,form4_cluster_buy,2026-04-23T00:00:00,2026-04-24,2026-05-26,21,-0.129787,SPY,0.051335,-0.181122
f4_GAME_2026-04-27,GAME,form4_cluster_buy,2026-04-27T00:00:00,2026-04-28,2026-05-28,21,-0.313333,SPY,0.060293,-0.373626
f4_AVBC_2026-04-30,AVBC,form4_cluster_buy,2026-04-30T00:00:00,2026-05-01,2026-06-02,21,-0.065298,SPY,0.054007,-0.119304
f4_SUNE_2026-05-01,SUNE,form4_cluster_buy,2026-05-01T00:00:00,2026-05-04,2026-06-03,21,-0.146853,SPY,0.050459,-0.197312
f4_ANIK_2026-05-04,ANIK,form4_cluster_buy,2026-05-04T00:00:00,2026-05-05,2026-06-04,21,-0.010702,SPY,0.046037,-0.056739
f4_BWMX_2026-05-04,BWMX,form4_cluster_buy,2026-05-04T00:00:00,2026-05-05,2026-06-04,21,0.072418,SPY,0.046037,0.026381
f4_OFIX_2026-05-08,OFIX,form4_cluster_buy,2026-05-08T00:00:00,2026-05-11,2026-06-10,21,-0.166238,SPY,-0.018761,-0.147477
f4_FTCI_2026-05-12,FTCI,form4_cluster_buy,2026-05-12T00:00:00,2026-05-13,2026-06-12,21,-0.002309,SPY,-0.000754,-0.001555
f4_INFU_2026-05-12,INFU,form4_cluster_buy,2026-05-12T00:00:00,2026-05-13,2026-06-12,21,0.113277,SPY,-0.000754,0.114031
f4_LODE_2026-05-14,LODE,form4_cluster_buy,2026-05-14T00:00:00,2026-05-15,2026-06-16,21,0.234957,SPY,0.015098,0.219859
f4_LTRN_2026-05-14,LTRN,form4_cluster_buy,2026-05-14T00:00:00,2026-05-15,2026-06-16,21,0.245223,SPY,0.015098,0.230125
f4_STRZ_2026-05-14,STRZ,form4_cluster_buy,2026-05-14T00:00:00,2026-05-15,2026-06-16,21,0.206315,SPY,0.015098,0.191217
f4_HDSN_2026-05-15,HDSN,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-06-17,21,0.137374,SPY,0.003127,0.134246
f4_NCDL_2026-05-15,NCDL,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-06-17,21,-0.050349,SPY,0.003127,-0.053476
f4_RGR_2026-05-15,RGR,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-06-17,21,-0.053038,SPY,0.003127,-0.056165
f4_SSP_2026-05-15,SSP,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-06-17,21,-0.242857,SPY,0.003127,-0.245984
f4_GRNT_2026-05-18,GRNT,form4_cluster_buy,2026-05-18T00:00:00,2026-05-19,2026-06-18,21,-0.165772,SPY,0.020353,-0.186125
f4_TLSI_2026-05-18,TLSI,form4_cluster_buy,2026-05-18T00:00:00,2026-05-19,2026-06-18,21,0.295238,SPY,0.020353,0.274885
f4_AEBI_2026-05-19,AEBI,form4_cluster_buy,2026-05-19T00:00:00,2026-05-20,2026-06-22,21,0.020042,SPY,0.006823,0.013218
f4_CTEV_2026-05-19,CTEV,form4_cluster_buy,2026-05-19T00:00:00,2026-05-20,2026-06-22,21,0.338983,SPY,0.006823,0.33216
f4_LWAY_2026-05-19,LWAY,form4_cluster_buy,2026-05-19T00:00:00,2026-05-20,2026-06-22,21,0.035253,SPY,0.006823,0.028429
f4_KRMD_2026-05-20,KRMD,form4_cluster_buy,2026-05-20T00:00:00,2026-05-21,2026-06-23,21,-0.002415,SPY,-0.009762,0.007346
f4_OBIO_2026-05-20,OBIO,form4_cluster_buy,2026-05-20T00:00:00,2026-05-21,2026-06-23,21,-0.014634,SPY,-0.009762,-0.004873
f4_SWIM_2026-05-21,SWIM,form4_cluster_buy,2026-05-21T00:00:00,2026-05-22,2026-06-24,21,0.159004,SPY,-0.014097,0.173101
f4_WW_2026-05-21,WW,form4_cluster_buy,2026-05-21T00:00:00,2026-05-22,2026-06-24,21,0.372166,SPY,-0.014097,0.386262
f4_BRCB_2026-05-22,BRCB,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-06-25,21,-0.028264,SPY,-0.019183,-0.009081
f4_CCAP_2026-05-22,CCAP,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-06-25,21,-0.039441,SPY,-0.019183,-0.020259
f4_ACOG_2026-05-22,ACOG,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-06-25,21,0.105442,SPY,-0.019183,0.124625
f4_AII_2026-05-27,AII,form4_cluster_buy,2026-05-27T00:00:00,2026-05-28,2026-06-29,21,0.151205,SPY,-0.015493,0.166698
f4_HCWB_2026-05-27,HCWB,form4_cluster_buy,2026-05-27T00:00:00,2026-05-28,2026-06-29,21,-0.580861,SPY,-0.015493,-0.565368
f4_WHF_2026-05-29,WHF,form4_cluster_buy,2026-05-29T00:00:00,2026-06-01,2026-07-01,21,-0.025862,SPY,-0.014315,-0.011547
f4_BOC_2026-06-01,BOC,form4_cluster_buy,2026-06-01T00:00:00,2026-06-02,2026-07-02,21,0.106305,SPY,-0.016945,0.12325
f4_MDWD_2026-06-04,MDWD,form4_cluster_buy,2026-06-04T00:00:00,2026-06-05,2026-07-08,21,0.036671,SPY,0.013247,0.023424
f4_INR_2026-06-08,INR,form4_cluster_buy,2026-06-08T00:00:00,2026-06-09,2026-07-10,21,-0.072848,SPY,0.026925,-0.099772
f4_ARDT_2026-06-08,ARDT,form4_cluster_buy,2026-06-08T00:00:00,2026-06-09,2026-07-10,21,0.071201,SPY,0.026925,0.044276
f4_EML_2026-06-08,EML,form4_cluster_buy,2026-06-08T00:00:00,2026-06-09,2026-07-10,21,0.145183,SPY,0.026925,0.118258
f4_HRZN_2026-06-11,HRZN,form4_cluster_buy,2026-06-11T00:00:00,2026-06-12,2026-07-15,21,0.107675,SPY,0.020229,0.087446
f4_MSIF_2026-06-11,MSIF,form4_cluster_buy,2026-06-11T00:00:00,2026-06-12,2026-07-15,21,-0.041199,SPY,0.020229,-0.061427
f4_BGDE_2026-06-15,BGDE,form4_cluster_buy,2026-06-15T00:00:00,2026-06-16,2026-07-17,21,-0.315348,SPY,-0.006831,-0.308517
f4_KRNY_2026-06-15,KRNY,form4_cluster_buy,2026-06-15T00:00:00,2026-06-16,2026-07-17,21,0.103368,SPY,-0.006831,0.110199
f4_NEWT_2026-06-16,NEWT,form4_cluster_buy,2026-06-16T00:00:00,2026-06-17,2026-07-20,21,0.113418,SPY,0.004105,0.109313
f4_VRA_2026-06-16,VRA,form4_cluster_buy,2026-06-16T00:00:00,2026-06-17,2026-07-20,21,-0.013263,SPY,0.004105,-0.017368
f4_LOVE_2026-06-23,LOVE,form4_cluster_buy,2026-06-23T00:00:00,2026-06-24,2026-07-24,21,0.019339,SPY,0.00776,0.011579
f4_LILA_2026-06-25,LILA,form4_cluster_buy,2026-06-25T00:00:00,2026-06-26,2026-07-28,21,0.164797,SPY,0.016283,0.148514
f4_NVCT_2026-07-01,NVCT,form4_cluster_buy,2026-07-01T00:00:00,2026-07-02,2026-08-03,21,0.10373,SPY,0.017307,0.086423
f4_GRML_2026-07-20,GRML,form4_cluster_buy,2026-07-20T00:00:00,2026-07-21,2026-08-19,21,-0.155102,SPY,0.02777,-0.182872
f4_RBKB_2026-07-23,RBKB,form4_cluster_buy,2026-07-23T00:00:00,2026-07-24,2026-08-24,21,0.037812,SPY,0.03321,0.004602
f4_BYRN_2026-07-28,BYRN,form4_cluster_buy,2026-07-28T00:00:00,2026-07-29,2026-08-27,21,-0.168591,SPY,0.057083,-0.225674
