event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_AEYE_2026-03-17,AEYE,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-06-17,63,0.039655,SPY,0.123299,-0.083644,ok
f4_FOA_2026-03-17,FOA,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-06-17,63,0.129492,SPY,0.123299,0.006193,ok
f4_SCM_2026-03-17,SCM,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-06-17,63,-0.083065,SPY,0.123299,-0.206364,ok
f4_SDHC_2026-03-17,SDHC,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-06-17,63,-0.010456,SPY,0.123299,-0.133755,ok
f4_WHF_2026-03-17,WHF,form4_cluster_buy,2026-03-17T00:00:00,2026-03-18,2026-06-17,63,-0.090824,SPY,0.123299,-0.214123,ok
f4_GCBC_2026-03-18,GCBC,form4_cluster_buy,2026-03-18T00:00:00,2026-03-19,2026-06-18,63,0.33296,SPY,0.137782,0.195178,ok
f4_ARQ_2026-03-19,ARQ,form4_cluster_buy,2026-03-19T00:00:00,2026-03-20,2026-06-22,63,0.296482,SPY,0.150697,0.145785,ok
f4_KLC_2026-03-23,KLC,form4_cluster_buy,2026-03-23T00:00:00,2026-03-24,2026-06-24,63,0.935185,SPY,0.125462,0.809723,ok
f4_INSE_2026-03-27,INSE,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-06-30,63,0.18705,SPY,0.184698,0.002352,ok
f4_TGEN_2026-03-27,TGEN,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-06-30,63,1.121951,SPY,0.184698,0.937253,ok
f4_XZO_2026-03-27,XZO,form4_cluster_buy,2026-03-27T00:00:00,2026-03-30,2026-06-30,63,0.202423,SPY,0.184698,0.017725,ok
f4_LENZ_2026-03-30,LENZ,form4_cluster_buy,2026-03-30T00:00:00,2026-03-31,2026-07-01,63,-0.367213,SPY,0.149677,-0.516891,ok
f4_AFCG_2026-04-01,AFCG,form4_cluster_buy,2026-04-01T00:00:00,2026-04-02,2026-07-06,63,0.091578,SPY,0.148492,-0.056913,ok
f4_LODE_2026-04-02,LODE,form4_cluster_buy,2026-04-02T00:00:00,2026-04-06,2026-07-07,63,0.118497,SPY,0.137657,-0.01916,ok
f4_NTHI_2026-04-13,NTHI,form4_cluster_buy,2026-04-13T00:00:00,2026-04-14,2026-07-15,63,-0.343228,SPY,0.089702,-0.43293,ok
f4_USAU_2026-04-14,USAU,form4_cluster_buy,2026-04-14T00:00:00,2026-04-15,2026-07-16,63,-0.159858,SPY,0.075312,-0.23517,ok
f4_TBN_2026-04-15,TBN,form4_cluster_buy,2026-04-15T00:00:00,2026-04-16,2026-07-17,63,-0.16209,SPY,0.06206,-0.22415,ok
f4_PRLD_2026-04-23,PRLD,form4_cluster_buy,2026-04-23T00:00:00,2026-04-24,2026-07-27,63,-0.17234,SPY,0.037894,-0.210234,ok
f4_GAME_2026-04-27,GAME,form4_cluster_buy,2026-04-27T00:00:00,2026-04-28,2026-07-29,63,-0.425,SPY,0.027609,-0.452609,ok
f4_SUNE_2026-05-01,SUNE,form4_cluster_buy,2026-05-01T00:00:00,2026-05-04,2026-08-04,63,0.727273,SPY,0.077028,0.650244,ok
f4_ANIK_2026-05-04,ANIK,form4_cluster_buy,2026-05-04T00:00:00,2026-05-05,2026-08-05,63,0.283612,SPY,0.066324,0.217288,ok
f4_BWMX_2026-05-04,BWMX,form4_cluster_buy,2026-05-04T00:00:00,2026-05-05,2026-08-05,63,0.016846,SPY,0.066324,-0.049477,ok
f4_OFIX_2026-05-08,OFIX,form4_cluster_buy,2026-05-08T00:00:00,2026-05-11,2026-08-11,63,-0.115681,SPY,0.044968,-0.16065,ok
f4_FTCI_2026-05-12,FTCI,form4_cluster_buy,2026-05-12T00:00:00,2026-05-13,2026-08-13,63,-0.438799,SPY,0.050618,-0.489417,ok
f4_INFU_2026-05-12,INFU,form4_cluster_buy,2026-05-12T00:00:00,2026-05-13,2026-08-13,63,0.520097,SPY,0.050618,0.46948,ok
f4_LTRN_2026-05-14,LTRN,form4_cluster_buy,2026-05-14T00:00:00,2026-05-15,2026-08-17,63,-0.171975,SPY,0.048014,-0.219989,ok
f4_STRZ_2026-05-14,STRZ,form4_cluster_buy,2026-05-14T00:00:00,2026-05-15,2026-08-17,63,0.099913,SPY,0.048014,0.051899,ok
f4_HDSN_2026-05-15,HDSN,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-08-18,63,0.139394,SPY,0.041667,0.097727,ok
f4_RGR_2026-05-15,RGR,form4_cluster_buy,2026-05-15T00:00:00,2026-05-18,2026-08-18,63,-0.058487,SPY,0.041667,-0.100153,ok
f4_AEBI_2026-05-19,AEBI,form4_cluster_buy,2026-05-19T00:00:00,2026-05-20,2026-08-20,63,-0.024583,SPY,0.031453,-0.056036,ok
f4_LWAY_2026-05-19,LWAY,form4_cluster_buy,2026-05-19T00:00:00,2026-05-20,2026-08-20,63,0.014884,SPY,0.031453,-0.016569,ok
f4_KRMD_2026-05-20,KRMD,form4_cluster_buy,2026-05-20T00:00:00,2026-05-21,2026-08-21,63,-0.224638,SPY,0.033623,-0.258261,ok
f4_OBIO_2026-05-20,OBIO,form4_cluster_buy,2026-05-20T00:00:00,2026-05-21,2026-08-21,63,0.307317,SPY,0.033623,0.273694,ok
f4_SWIM_2026-05-21,SWIM,form4_cluster_buy,2026-05-21T00:00:00,2026-05-22,2026-08-24,63,0.340996,SPY,0.02655,0.314446,ok
f4_WW_2026-05-21,WW,form4_cluster_buy,2026-05-21T00:00:00,2026-05-22,2026-08-24,63,0.250195,SPY,0.02655,0.223645,ok
f4_BRCB_2026-05-22,BRCB,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-08-25,63,0.231494,SPY,0.023039,0.208455,ok
f4_CCAP_2026-05-22,CCAP,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-08-25,63,-0.033375,SPY,0.023039,-0.056414,ok
f4_ACOG_2026-05-22,ACOG,form4_cluster_buy,2026-05-22T00:00:00,2026-05-26,2026-08-25,63,0.658163,SPY,0.023039,0.635124,ok
f4_AII_2026-05-27,AII,form4_cluster_buy,2026-05-27T00:00:00,2026-05-28,2026-08-27,63,0.583735,SPY,0.024498,0.559237,ok
f4_HCWB_2026-05-27,HCWB,form4_cluster_buy,2026-05-27T00:00:00,2026-05-28,2026-08-27,63,-0.747209,SPY,0.024498,-0.771707,ok
f4_BOC_2026-06-01,BOC,form4_cluster_buy,2026-06-01T00:00:00,2026-06-02,2026-09-01,63,0.004399,SPY,0.005493,-0.001094,ok
