event_id,ticker,event_type,event_ts,entry_date,exit_date,horizon,event_ret,control,control_ret,abnormal_ret,exit_status
f4_GRNT_2025-05-16,GRNT,form4_cluster_buy,2025-05-16T00:00:00,2025-05-19,2025-08-19,63,-0.050304,SPY,0.078762,-0.129066,ok
f4_RPAY_2025-05-16,RPAY,form4_cluster_buy,2025-05-16T00:00:00,2025-05-19,2025-08-19,63,0.356796,SPY,0.078762,0.278034,ok
f4_CTEV_2025-05-16,CTEV,form4_cluster_buy,2025-05-16T00:00:00,2025-05-19,2025-08-19,63,1.46361,SPY,0.078762,1.384848,ok
f4_MASS_2025-05-19,MASS,form4_cluster_buy,2025-05-19T00:00:00,2025-05-20,2025-08-20,63,0.210526,SPY,0.079525,0.131001,ok
f4_NNBR_2025-05-19,NNBR,form4_cluster_buy,2025-05-19T00:00:00,2025-05-20,2025-08-20,63,0.074766,SPY,0.079525,-0.004759,ok
f4_ARQ_2025-05-20,ARQ,form4_cluster_buy,2025-05-20T00:00:00,2025-05-21,2025-08-21,63,0.557987,SPY,0.093623,0.464364,ok
f4_AURA_2025-05-20,AURA,form4_cluster_buy,2025-05-20T00:00:00,2025-05-21,2025-08-21,63,0.08557,SPY,0.093623,-0.008052,ok
f4_JRVR_2025-05-21,JRVR,form4_cluster_buy,2025-05-21T00:00:00,2025-05-22,2025-08-22,63,0.087133,SPY,0.109979,-0.022846,ok
f4_PANL_2025-05-22,PANL,form4_cluster_buy,2025-05-22T00:00:00,2025-05-23,2025-08-25,63,0.151929,SPY,0.112689,0.03924,ok
f4_SDHC_2025-05-22,SDHC,form4_cluster_buy,2025-05-22T00:00:00,2025-05-23,2025-08-25,63,0.195476,SPY,0.112689,0.082787,ok
f4_FIP_2025-05-23,FIP,form4_cluster_buy,2025-05-23T00:00:00,2025-05-27,2025-08-26,63,-0.178945,SPY,0.094591,-0.273535,ok
f4_NTHI_2025-05-23,NTHI,form4_cluster_buy,2025-05-23T00:00:00,2025-05-27,2025-08-26,63,-0.176788,SPY,0.094591,-0.271379,ok
f4_BCBP_2025-05-27,BCBP,form4_cluster_buy,2025-05-27T00:00:00,2025-05-28,2025-08-27,63,0.143828,SPY,0.103469,0.04036,ok
f4_KINS_2025-05-27,KINS,form4_cluster_buy,2025-05-27T00:00:00,2025-05-28,2025-08-27,63,-0.188421,SPY,0.103469,-0.29189,ok
f4_BDL_2025-05-30,BDL,form4_cluster_buy,2025-05-30T00:00:00,2025-06-02,2025-09-02,63,0.087695,SPY,0.083435,0.00426,ok
f4_CIA_2025-06-02,CIA,form4_cluster_buy,2025-06-02T00:00:00,2025-06-03,2025-09-03,63,0.446328,SPY,0.08313,0.363198,ok
